Frame_Idx,Hips-T_X,Hips-T_Y,Hips-T_Z,Hips-R_X,Hips-R_Z,Hips-R_Y,RUL-T_X,RUL-T_Y,RUL-T_Z,RUL-R_X,RUL-R_Z,RUL-R_Y,RK-T_X,RK-T_Y,RK-T_Z,RK-R_X,RK-R_Z,RK-R_Y,RF-T_X,RF-T_Y,RF-T_Z,RF-R_X,RF-R_Z,RF-R_Y,LUL-T_X,LUL-T_Y,LUL-T_Z,LUL-R_X,LUL-R_Z,LUL-R_Y,LK-T_X,LK-T_Y,LK-T_Z,LK-R_X,LK-R_Z,LK-R_Y,LF-T_X,LF-T_Y,LF-T_Z,LF-R_X,LF-R_Z,LF-R_Y,Label
0,117.98050689697266,3.968018293380737,-54.75570678710938,0.3950572907924652,1.3144211769104004,93.12351989746094,-10.26623249053955,-1.485599160194397,-0.049089599400758736,2.1912920475006104,-1.281307578086853,-3.8563411235809326,-0.040758546441793435,-37.94829940795898,-0.05910902842879295,3.1956028938293457,-1.307933330535889,0.6293880939483643,-0.12928913533687592,-36.04223251342773,-0.789928138256073,-3.5360028743743896,0.9508496522903442,-9.63431453704834,10.24248218536377,-1.4841995239257812,-0.0235865730792284,2.1973831653594966,1.4917209148406982,0.7470681667327881,-0.005283060483634472,-37.95022583007813,-0.027741000056266785,2.669013500213623,0.5013766884803772,0.9364688992500304,0.038242775946855545,-36.14472198486328,-0.9128404855728148,-3.920808553695679,-0.16836926341056824,1.8044865131378172,0
0,117.98050689697266,3.968018293380737,-54.75570678710938,0.3950572907924652,1.3144211769104004,93.12351989746094,-10.26623249053955,-1.485599160194397,-0.049089599400758736,2.1912920475006104,-1.281307578086853,-3.8563411235809326,-0.040758546441793435,-37.94829940795898,-0.05910902842879295,3.1956028938293457,-1.307933330535889,0.6293880939483643,-0.12928913533687592,-36.04223251342773,-0.789928138256073,-3.5360028743743896,0.9508496522903442,-9.63431453704834,10.24248218536377,-1.4841995239257812,-0.0235865730792284,2.1973831653594966,1.4917209148406982,0.7470681667327881,-0.005283060483634472,-37.95022583007813,-0.027741000056266785,2.669013500213623,0.5013766884803772,0.9364688992500304,0.038242775946855545,-36.14472198486328,-0.9128404855728148,-3.920808553695679,-0.16836926341056824,1.8044865131378172,0
1,117.98210144042969,3.9681911468505864,-54.75900268554688,0.3975570499897003,1.316478967666626,93.12710571289062,-10.264569282531738,-1.4852720499038696,-0.04703392088413239,2.1935868263244633,-1.2853089570999146,-3.8582155704498287,-0.038115303963422775,-37.94829177856445,-0.058368291705846786,3.1957356929779053,-1.306086182594299,0.6277451515197754,-0.1352839320898056,-36.04460525512695,-0.7925941348075867,-3.5360028743743896,0.9508496522903442,-9.63431453704834,10.243396759033203,-1.4847928285598757,-0.022129654884338382,2.199172258377075,1.4879781007766724,0.7449551224708557,-0.006029221694916487,-37.95018768310547,-0.029226062819361687,2.669569969177246,0.5010291934013367,0.9369279742240906,0.03746034950017929,-36.14525985717773,-0.9111228585243224,-3.9170467853546143,-0.1695544570684433,1.8041238784790041,0
2,117.98506927490234,3.9684712886810303,-54.76211166381836,0.4018543362617493,1.336517095565796,93.14350128173828,-10.26492977142334,-1.4846900701522827,-0.04924298822879791,2.2088568210601807,-1.2846148014068604,-3.8762946128845215,-0.036857571452856064,-37.94859313964844,-0.05376393720507622,3.2172505855560303,-1.319244146347046,0.651248574256897,-0.13761669397354126,-36.04827117919922,-0.7963666915893555,-3.5811493396759038,0.9741405844688416,-9.670650482177734,10.242654800415039,-1.4854893684387207,-0.02011098898947239,2.2149665355682373,1.4889144897460938,0.7397323846817017,-0.008484314195811749,-37.95028305053711,-0.027539217844605446,2.687342643737793,0.4962045550346375,0.9325053691864014,0.03605367988348007,-36.14613723754883,-0.9076046943664552,-3.9349305629730233,-0.1653858721256256,1.795461893081665,0
3,117.98780059814452,3.968483209609986,-54.76475524902344,0.4043591916561127,1.3385683298110962,93.14710235595705,-10.26411247253418,-1.484411120414734,-0.04668470844626427,2.2128140926361084,-1.286769151687622,-3.8782005310058594,-0.03710544109344482,-37.94854736328125,-0.052224483340978615,3.215292692184448,-1.3206720352172852,0.6510173082351685,-0.1396484524011612,-36.05043029785156,-0.8004258275032043,-3.5808892250061035,0.975592076778412,-9.67225170135498,10.243131637573242,-1.4860676527023315,-0.0182955265045166,2.21871018409729,1.4867105484008791,0.7376013398170471,-0.009666720405220984,-37.95024490356445,-0.02770352549850941,2.6876296997070312,0.494484931230545,0.934714674949646,0.03571810945868492,-36.14664077758789,-0.9062860012054444,-3.9328289031982417,-0.16691213846206665,1.7933857440948486,0
4,117.99150848388672,3.9679169654846187,-54.76860427856445,0.400873214006424,1.3663389682769775,93.14181518554688,-10.264126777648926,-1.4859039783477783,-0.054279789328575134,2.2125186920166016,-1.2847580909729004,-3.823780298233032,-0.03827935084700584,-37.948585510253906,-0.06028847396373749,3.261054277420044,-1.3177149295806885,0.6041489243507385,-0.13583919405937195,-36.05009460449219,-0.79209303855896,-3.5793652534484863,0.9423723220825196,-9.682717323303224,10.245606422424316,-1.4843392372131348,-0.019575582817196846,2.2399697303771973,1.4866710901260376,0.7274445891380309,-0.007253669202327728,-37.95021438598633,-0.02741931565105915,2.7053027153015137,0.4912824928760529,0.9413857460021972,0.03603647276759148,-36.14784622192383,-0.9064371585845948,-3.946032047271729,-0.16085493564605713,1.82593047618866,0
5,117.99552154541016,3.9671540260314937,-54.77219772338867,0.4104526042938232,1.3903418779373171,93.13107299804688,-10.264439582824707,-1.4846166372299194,-0.05021470040082932,2.2351672649383545,-1.2917858362197876,-3.820066213607788,-0.03371063619852066,-37.94890213012695,-0.05451455339789391,3.282078266143799,-1.3315026760101318,0.6241381764411926,-0.13329319655895233,-36.05092239379883,-0.7884715795516968,-3.584425687789917,0.9270569086074828,-9.687180519104004,10.24335765838623,-1.4859142303466797,-0.021085318177938458,2.263293743133545,1.4766870737075806,0.7536231279373169,-0.010112461633980274,-37.95053482055664,-0.02470538578927517,2.72065806388855,0.4896563291549682,0.9311885237693788,0.04075203835964203,-36.14828109741211,-0.9040775895118712,-3.960561513900757,-0.15876542031764984,1.823458194732666,0
6,118.00167846679688,3.965979814529419,-54.77392578125,0.4083954095840454,1.4241071939468384,93.1317367553711,-10.26214599609375,-1.4851007461547852,-0.0526459775865078,2.260008811950684,-1.291361927986145,-3.761406898498535,-0.03074032813310623,-37.94919967651367,-0.054051656275987625,3.310599565505981,-1.3274359703063965,0.5697791576385498,-0.13849760591983795,-36.05325698852539,-0.7900403738021851,-3.6303744316101074,0.9437031149864196,-9.705385208129883,10.245043754577637,-1.4852770566940308,-0.02379678562283516,2.28560471534729,1.476715087890625,0.7548096776008606,-0.007137828040868044,-37.95056915283203,-0.02301069721579552,2.7537686824798584,0.4823283851146698,0.9221817255020142,0.045235197991132736,-36.1486701965332,-0.9018595218658448,-3.9841718673706055,-0.14874383807182312,1.8487802743911743,0
7,118.0088882446289,3.964966535568237,-54.77581024169922,0.4082942306995392,1.4598809480667114,93.13245391845705,-10.262563705444336,-1.4852683544158936,-0.0528772845864296,2.295939445495605,-1.2858238220214844,-3.772471904754639,-0.0319097675383091,-37.9494514465332,-0.051239963620901115,3.3260712623596187,-1.3350534439086914,0.5877711772918701,-0.12860864400863647,-36.05194854736328,-0.7786034345626831,-3.584450483322144,0.880832314491272,-9.681239128112793,10.244830131530762,-1.485131025314331,-0.02533416636288166,2.3153200149536133,1.4807668924331665,0.7653580307960509,-0.00853816419839859,-37.95075988769531,-0.021693957969546318,2.7753701210021973,0.4776325821876526,0.9141925573349,0.04623550921678543,-36.14866638183594,-0.9012880921363832,-3.999842405319214,-0.14505669474601746,1.847653031349182,0
8,118.01480102539062,3.962993621826172,-54.7784194946289,0.41621091961860657,1.489788055419922,93.11895751953124,-10.262335777282717,-1.4838838577270508,-0.05152423307299614,2.3225338459014893,-1.291085720062256,-3.764201402664185,-0.03392678499221802,-37.94926452636719,-0.0544247031211853,3.329550743103028,-1.33559250831604,0.5913743376731873,-0.13730542361736298,-36.05503463745117,-0.7898378968238831,-3.6621458530426025,0.9303743243217468,-9.639010429382324,10.24602222442627,-1.4862817525863647,-0.028976675122976307,2.337869644165039,1.4631339311599731,0.7957018613815308,-0.0059834192506968975,-37.95098876953125,-0.019643375650048256,2.80185341835022,0.4775136411190033,0.93932443857193,0.0552198737859726,-36.148433685302734,-0.9008490443229676,-4.023836612701416,-0.13484860956668854,1.8172249794006348,0
